id,city,county_id,state,type,sort_order
447,Myrtle,24,MN,,
448,Nashua,84,MN,,
449,Nashwauk,31,MN,,
450,Nassau,37,MN,,
451,Nelson,21,MN,,
452,Nerstrand,66,MN,,
453,Nevis,29,MN,,
454,New Auburn,72,MN,,
455,New Brighton,62,MN,,
456,New Germany,10,MN,,
457,New Hope,27,MN,,
458,New London,34,MN,,
459,New Munich,73,MN,,
460,New Prague,70,MN,,
461,New Prague,40,MN,,
462,New Richland,81,MN,,
463,New Trier,19,MN,,
464,New Ulm,8,MN,,
465,New York Mills,56,MN,,
466,Newfolden,44,MN,,
467,Newport,82,MN,,
468,Nicollet,52,MN,,
469,Nielsville,60,MN,,
470,Nimrod,80,MN,,
471,Nisswa,18,MN,,
472,Norcross,26,MN,,
473,North Branch,13,MN,,
474,North Mankato,52,MN,,
475,North Mankato,7,MN,,
476,North Oaks,62,MN,,
477,North Saint Paul,62,MN,,
478,Northfield,66,MN,,
479,Northfield,19,MN,,
480,Northome,36,MN,,
481,Northrop,45,MN,,
482,Norwood Young America,10,MN,,
483,Oak Grove,2,MN,,
484,Oak Park Heights,82,MN,,
485,Odessa,6,MN,,
486,Odin,83,MN,,
487,Ogema,3,MN,,
488,Ogilvie,33,MN,,
489,Okabena,32,MN,,
490,Oklee,63,MN,,
491,Middle River,44,MN,,
492,Miesville,19,MN,,
493,Milaca,48,MN,,
494,Milan,12,MN,,
495,Millerville,21,MN,,
496,Millville,79,MN,,
497,Milroy,64,MN,,
498,Miltona,21,MN,,
499,Minneiska,85,MN,,
500,Minneiska,79,MN,,
501,Minneota,42,MN,,
502,Minnesota Lake,22,MN,,
503,Minnesota Lake,7,MN,,
504,Minnetonka Beach,27,MN,,
505,Minnetrista,27,MN,,
506,Mizpah,36,MN,,
507,Montevideo,12,MN,,
508,Montgomery,40,MN,,
509,Monticello,86,MN,,
510,Montrose,86,MN,,
511,Moorhead,14,MN,,
512,Moose Lake,9,MN,,
513,Mora,33,MN,,
514,Morgan,64,MN,,
515,Morris,75,MN,,
516,Morristown,66,MN,,
517,Morton,65,MN,,
518,Motley,49,MN,,
519,Motley,11,MN,,
520,Independence,27,MN,,
521,International Falls,36,MN,,
522,Inver Grove Heights,19,MN,,
523,Iona,51,MN,,
524,Iron Junction,69,MN,,
525,Ironton,18,MN,,
526,Isanti,30,MN,,
527,Isle,48,MN,,
